Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,477448,-,-,-,40.01,-105.26,0,1629,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Relative Humidity
2018,1,1,0,30,-6.7,64.44
2018,1,1,1,30,-7.6000000000000005,67.64
2018,1,1,2,30,-8.200000000000001,69.03
2018,1,1,3,30,-8.700000000000001,70.39
2018,1,1,4,30,-9.200000000000001,71.49
2018,1,1,5,30,-9.600000000000001,70.98
2018,1,1,6,30,-10,69.54
2018,1,1,7,30,-10.200000000000001,66.94
2018,1,1,8,30,-10.200000000000001,64.08
2018,1,1,9,30,-10.100000000000001,62.02
2018,1,1,10,30,-9.8,60.53
2018,1,1,11,30,-9.4,58.75
2018,1,1,12,30,-8.9,56.81
2018,1,1,13,30,-8.4,55
2018,1,1,14,30,-7,50
2018,1,1,15,30,-4.6000000000000005,44.93
2018,1,1,16,30,-1.9000000000000001,41.59
2018,1,1,17,30,0.8,38.61
2018,1,1,18,30,2.9000000000000004,34.82
2018,1,1,19,30,4.1000000000000005,32.480000000000004
2018,1,1,20,30,4.1000000000000005,32.96
2018,1,1,21,30,2.6,38.78
2018,1,1,22,30,0,53.56
2018,1,1,23,30,-1.4000000000000001,53.92
2018,1,2,0,30,-3.3000000000000003,59.19
2018,1,2,1,30,-4,61.75
2018,1,2,2,30,-4.5,63.7
2018,1,2,3,30,-4.9,65.42
2018,1,2,4,30,-5.300000000000001,66.82000000000001
2018,1,2,5,30,-5.9,69.02
2018,1,2,6,30,-6.4,70.82000000000001
2018,1,2,7,30,-7.1000000000000005,73.64
2018,1,2,8,30,-8,76.52
2018,1,2,9,30,-8.700000000000001,76.57000000000001
2018,1,2,10,30,-9,75.34
2018,1,2,11,30,-9.3,73.86
2018,1,2,12,30,-9.600000000000001,72.41
2018,1,2,13,30,-9.9,71.31
2018,1,2,14,30,-8.3,61.34
2018,1,2,15,30,-4.9,48.300000000000004
2018,1,2,16,30,-1.4000000000000001,36.61
2018,1,2,17,30,1.7000000000000002,25.29
2018,1,2,18,30,3.9000000000000004,19.89
2018,1,2,19,30,5.1000000000000005,18.77
2018,1,2,20,30,5.300000000000001,19.400000000000002
2018,1,2,21,30,3.9000000000000004,23.97
2018,1,2,22,30,1,38
2018,1,2,23,30,-0.7000000000000001,36.64
2018,1,3,0,30,-3.2,41.56
2018,1,3,1,30,-3.5,40.83
2018,1,3,2,30,-3.6,38.69
2018,1,3,3,30,-3.8000000000000003,36.86
2018,1,3,4,30,-4.1000000000000005,34.72
2018,1,3,5,30,-4.2,31.26
2018,1,3,6,30,-4.2,27.51
2018,1,3,7,30,-4.3,24.79
2018,1,3,8,30,-4.2,24.54
2018,1,3,9,30,-3.7,23.44
2018,1,3,10,30,-3.1,22.44
2018,1,3,11,30,-2.7,22.09
2018,1,3,12,30,-2.5,22.04
2018,1,3,13,30,-2.4000000000000004,21.61
2018,1,3,14,30,-1,19.8
2018,1,3,15,30,1.9000000000000001,19.990000000000002
2018,1,3,16,30,5.1000000000000005,22.11
2018,1,3,17,30,7.5,18.150000000000002
2018,1,3,18,30,8.9,17.38
2018,1,3,19,30,9.4,17.98
2018,1,3,20,30,8.9,20.38
2018,1,3,21,30,6.800000000000001,31.66
2018,1,3,22,30,3.6,41.550000000000004
2018,1,3,23,30,1.8,35.88
2018,1,4,0,30,0.2,37.160000000000004
2018,1,4,1,30,0.5,35.43
2018,1,4,2,30,0.1,36.27
2018,1,4,3,30,-0.5,38.75
2018,1,4,4,30,-0.8,39.18
2018,1,4,5,30,-1.1,39.25
2018,1,4,6,30,-1.3,38.88
2018,1,4,7,30,-1.5,37.44
2018,1,4,8,30,-1.5,34.75
2018,1,4,9,30,-1.4000000000000001,32.02
2018,1,4,10,30,-1.5,30.75
2018,1,4,11,30,-1.7000000000000002,30.51
2018,1,4,12,30,-1.3,29.41
2018,1,4,13,30,-0.2,25.88
2018,1,4,14,30,1.3,20.68
2018,1,4,15,30,3.2,22.23
2018,1,4,16,30,5.300000000000001,25.51
2018,1,4,17,30,7.1000000000000005,23.19
2018,1,4,18,30,8.3,22.94
2018,1,4,19,30,8.9,23.29
2018,1,4,20,30,8.8,24.490000000000002
2018,1,4,21,30,6.9,33.09
2018,1,4,22,30,3.8000000000000003,46.56
2018,1,4,23,30,2.3000000000000003,40.160000000000004
2018,1,5,0,30,-0.4,45.13
2018,1,5,1,30,-1.1,46.76
2018,1,5,2,30,-0.9,44.730000000000004
2018,1,5,3,30,-0.6000000000000001,41.47
2018,1,5,4,30,-0.6000000000000001,39.12
2018,1,5,5,30,-0.9,38.72
2018,1,5,6,30,-1.1,38.53
2018,1,5,7,30,-1.1,37.93
2018,1,5,8,30,-0.9,37.2
2018,1,5,9,30,-0.6000000000000001,36.6
2018,1,5,10,30,-0.2,35.97
2018,1,5,11,30,0.1,36.02
2018,1,5,12,30,0.2,36.39
2018,1,5,13,30,0.2,36.22
2018,1,5,14,30,1.5,32.68
2018,1,5,15,30,4.4,29.16
2018,1,5,16,30,7.300000000000001,26.91
2018,1,5,17,30,9.4,26.67
2018,1,5,18,30,10.200000000000001,27.650000000000002
2018,1,5,19,30,9.5,35.14
2018,1,5,20,30,8.3,38.74
2018,1,5,21,30,7.2,41.68
2018,1,5,22,30,5.5,45.42
2018,1,5,23,30,4.4,42.83
2018,1,6,0,30,2.8000000000000003,44.01
2018,1,6,1,30,2.5,43.86
2018,1,6,2,30,2.4000000000000004,43.9
2018,1,6,3,30,2.2,44.33
2018,1,6,4,30,1.9000000000000001,44.86
2018,1,6,5,30,1.6,45.26
2018,1,6,6,30,1.4000000000000001,45.37
2018,1,6,7,30,1.3,44.980000000000004
2018,1,6,8,30,1.4000000000000001,44.26
2018,1,6,9,30,1.4000000000000001,44.67
2018,1,6,10,30,1.3,45.36
2018,1,6,11,30,1.6,44.56
2018,1,6,12,30,2.1,44.61
2018,1,6,13,30,2.3000000000000003,45.09
2018,1,6,14,30,3.1,43.63
2018,1,6,15,30,4.6000000000000005,41.67
2018,1,6,16,30,6.2,40.25
2018,1,6,17,30,7.5,40.83
2018,1,6,18,30,8.4,42.39
2018,1,6,19,30,8.8,43.12
2018,1,6,20,30,8.4,45.230000000000004
2018,1,6,21,30,7.300000000000001,52.58
2018,1,6,22,30,5.800000000000001,53.34
2018,1,6,23,30,5.1000000000000005,51.78
2018,1,7,0,30,4.5,53.59
2018,1,7,1,30,4.4,54.92
2018,1,7,2,30,4.1000000000000005,57.59
2018,1,7,3,30,3.5,62.34
2018,1,7,4,30,2.9000000000000004,67.48
2018,1,7,5,30,2.6,71.05
2018,1,7,6,30,2.5,72.83
2018,1,7,7,30,2.5,72.56
2018,1,7,8,30,2.1,72.72
2018,1,7,9,30,0.9,76.27
2018,1,7,10,30,-0.2,78.29
2018,1,7,11,30,-0.8,78.26
2018,1,7,12,30,-1.3,77.71000000000001
2018,1,7,13,30,-1.5,75.24
2018,1,7,14,30,-0.30000000000000004,66.18
2018,1,7,15,30,2.1,57.230000000000004
2018,1,7,16,30,4.2,51.300000000000004
2018,1,7,17,30,5.5,46.26
2018,1,7,18,30,6.4,41.29
2018,1,7,19,30,6.9,37.89
2018,1,7,20,30,6.800000000000001,37.54
2018,1,7,21,30,5.800000000000001,42.57
2018,1,7,22,30,3.3000000000000003,53.42
2018,1,7,23,30,1.7000000000000002,54.83
2018,1,8,0,30,0.30000000000000004,58.38
2018,1,8,1,30,0,58.9
2018,1,8,2,30,0,58.04
2018,1,8,3,30,0,56.84
2018,1,8,4,30,-0.1,55.9
2018,1,8,5,30,-0.1,55.02
2018,1,8,6,30,-0.1,54.550000000000004
2018,1,8,7,30,-0.1,54.370000000000005
2018,1,8,8,30,0,54.26
2018,1,8,9,30,0.2,53.800000000000004
2018,1,8,10,30,0.4,53.15
2018,1,8,11,30,0.5,52.53
2018,1,8,12,30,0.6000000000000001,51.59
2018,1,8,13,30,1,49.230000000000004
2018,1,8,14,30,2.3000000000000003,44.81
2018,1,8,15,30,4.7,40.89
2018,1,8,16,30,7.300000000000001,39.15
2018,1,8,17,30,9.8,36.31
2018,1,8,18,30,11.600000000000001,35.21
2018,1,8,19,30,11.700000000000001,37.02
2018,1,8,20,30,10.4,47.47
2018,1,8,21,30,8.700000000000001,48.54
2018,1,8,22,30,7,47.86
2018,1,8,23,30,6.2,45.57
2018,1,9,0,30,5.4,46.78
2018,1,9,1,30,4.9,49.11
2018,1,9,2,30,4.3,50.7
2018,1,9,3,30,4.1000000000000005,49.17
2018,1,9,4,30,3.9000000000000004,46.35
2018,1,9,5,30,3.9000000000000004,43.52
2018,1,9,6,30,3.8000000000000003,43.47
2018,1,9,7,30,3.4000000000000004,46.06
2018,1,9,8,30,3.1,48.61
2018,1,9,9,30,3.1,50.22
2018,1,9,10,30,3.2,51.13
2018,1,9,11,30,3.3000000000000003,52.74
2018,1,9,12,30,3.2,55.92
2018,1,9,13,30,2.9000000000000004,59.160000000000004
2018,1,9,14,30,4.1000000000000005,56.2
2018,1,9,15,30,7.2,49.97
2018,1,9,16,30,10.4,44.21
2018,1,9,17,30,12.700000000000001,40.65
2018,1,9,18,30,14.100000000000001,37.69
2018,1,9,19,30,14.600000000000001,35.9
2018,1,9,20,30,14.4,36.03
2018,1,9,21,30,13.200000000000001,42.660000000000004
2018,1,9,22,30,10.8,47.69
2018,1,9,23,30,9.1,49.17
2018,1,10,0,30,6.7,55.96
2018,1,10,1,30,5.4,61.300000000000004
2018,1,10,2,30,4.1000000000000005,67.45
2018,1,10,3,30,3.2,71.95
2018,1,10,4,30,3,72.55
2018,1,10,5,30,3.1,71.49
2018,1,10,6,30,3.6,68.52
2018,1,10,7,30,4.2,65.08
2018,1,10,8,30,4.4,63.77
2018,1,10,9,30,4.3,64.62
2018,1,10,10,30,4.6000000000000005,64.78
2018,1,10,11,30,5.2,63.300000000000004
2018,1,10,12,30,5.4,63.410000000000004
2018,1,10,13,30,5.2,65.11
2018,1,10,14,30,5.6000000000000005,64.43
2018,1,10,15,30,6.4,64.11
2018,1,10,16,30,6.9,65.88
2018,1,10,17,30,7.5,65.21000000000001
2018,1,10,18,30,8.200000000000001,63.96
2018,1,10,19,30,8.5,65.07000000000001
2018,1,10,20,30,8.3,67.43
2018,1,10,21,30,7.300000000000001,70.02
2018,1,10,22,30,5.4,77.53
2018,1,10,23,30,4.5,77.46000000000001
2018,1,11,0,30,2.7,80.34
2018,1,11,1,30,1.9000000000000001,74.7
2018,1,11,2,30,0.7000000000000001,70.69
2018,1,11,3,30,-0.8,68.60000000000001
2018,1,11,4,30,-2.1,67.95
2018,1,11,5,30,-3.3000000000000003,69.02
2018,1,11,6,30,-4.3,69.33
