Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,477448,-,-,-,40.01,-105.26,0,1629,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Relative Humidity
2022,1,1,0,30,-5.1000000000000005,81.37
2022,1,1,1,30,-6,80.74
2022,1,1,2,30,-6.9,80.07000000000001
2022,1,1,3,30,-7.800000000000001,78.16
2022,1,1,4,30,-8.5,75.74
2022,1,1,5,30,-9.1,73.94
2022,1,1,6,30,-9.5,72.05
2022,1,1,7,30,-9.9,70.95
2022,1,1,8,30,-10.3,69.96000000000001
2022,1,1,9,30,-10.9,69.9
2022,1,1,10,30,-11.4,69.57000000000001
2022,1,1,11,30,-12,69.17
2022,1,1,12,30,-12.5,68.3
2022,1,1,13,30,-12.8,67.21000000000001
2022,1,1,14,30,-12.600000000000001,63.83
2022,1,1,15,30,-11.9,62.34
2022,1,1,16,30,-11.200000000000001,62.64
2022,1,1,17,30,-10.700000000000001,61.660000000000004
2022,1,1,18,30,-10.100000000000001,60.32
2022,1,1,19,30,-9.5,59.38
2022,1,1,20,30,-8.9,58.480000000000004
2022,1,1,21,30,-8.6,58.42
2022,1,1,22,30,-9.3,63.940000000000005
2022,1,1,23,30,-11.200000000000001,61.9
2022,1,2,0,30,-13.5,64.03
2022,1,2,1,30,-15.3,64.03
2022,1,2,2,30,-15.5,58.5
2022,1,2,3,30,-14.700000000000001,52.75
2022,1,2,4,30,-13.9,50.14
2022,1,2,5,30,-13.4,50.02
2022,1,2,6,30,-13.100000000000001,50.59
2022,1,2,7,30,-12.8,49.95
2022,1,2,8,30,-12.4,49.46
2022,1,2,9,30,-11.700000000000001,49.11
2022,1,2,10,30,-11,49.660000000000004
2022,1,2,11,30,-10.3,50.5
2022,1,2,12,30,-9.8,52.43
2022,1,2,13,30,-9.3,54.02
2022,1,2,14,30,-8,51.9
2022,1,2,15,30,-5.7,50.11
2022,1,2,16,30,-3,49.46
2022,1,2,17,30,-0.5,50.43
2022,1,2,18,30,1.4000000000000001,51.410000000000004
2022,1,2,19,30,2.6,51.08
2022,1,2,20,30,2.9000000000000004,52.730000000000004
2022,1,2,21,30,2.4000000000000004,58.74
2022,1,2,22,30,0.6000000000000001,67.6
2022,1,2,23,30,-2,66.46000000000001
2022,1,3,0,30,-3.8000000000000003,64.23
2022,1,3,1,30,-4.7,63.11
2022,1,3,2,30,-5.1000000000000005,59.74
2022,1,3,3,30,-5,56.04
2022,1,3,4,30,-4.7,53.58
2022,1,3,5,30,-4.6000000000000005,53.5
2022,1,3,6,30,-4.6000000000000005,54.86
2022,1,3,7,30,-4.7,57.050000000000004
2022,1,3,8,30,-4.800000000000001,59.26
2022,1,3,9,30,-4.800000000000001,60.83
2022,1,3,10,30,-4.800000000000001,61.74
2022,1,3,11,30,-4.7,61.47
2022,1,3,12,30,-4.4,61.02
2022,1,3,13,30,-3.9000000000000004,60.65
2022,1,3,14,30,-2.9000000000000004,58.19
2022,1,3,15,30,-1,55.88
2022,1,3,16,30,1.5,55.34
2022,1,3,17,30,3.6,53.980000000000004
2022,1,3,18,30,5.2,51.59
2022,1,3,19,30,6.2,46.96
2022,1,3,20,30,6.2,48.370000000000005
2022,1,3,21,30,4.9,59.08
2022,1,3,22,30,2.4000000000000004,66.02
2022,1,3,23,30,-0.30000000000000004,61.15
2022,1,4,0,30,-1.5,56.11
2022,1,4,1,30,-1.7000000000000002,53.800000000000004
2022,1,4,2,30,-2.1,55.38
2022,1,4,3,30,-2.4000000000000004,58.76
2022,1,4,4,30,-2.3000000000000003,60.2
2022,1,4,5,30,-2.2,60.26
2022,1,4,6,30,-2.1,59.17
2022,1,4,7,30,-2.1,58.45
2022,1,4,8,30,-2.2,57.230000000000004
2022,1,4,9,30,-2.2,55.31
2022,1,4,10,30,-2.3000000000000003,54.24
2022,1,4,11,30,-2.8000000000000003,54.22
2022,1,4,12,30,-3.9000000000000004,54.83
2022,1,4,13,30,-4.9,54.42
2022,1,4,14,30,-3.8000000000000003,47.6
2022,1,4,15,30,-0.4,42.62
2022,1,4,16,30,2.4000000000000004,43.51
2022,1,4,17,30,3.8000000000000003,44.910000000000004
2022,1,4,18,30,4.5,46.21
2022,1,4,19,30,4.800000000000001,46.300000000000004
2022,1,4,20,30,4.6000000000000005,47.300000000000004
2022,1,4,21,30,3.6,51
2022,1,4,22,30,1.8,59.25
2022,1,4,23,30,-0.1,63.81
2022,1,5,0,30,-1.2000000000000002,64.09
2022,1,5,1,30,-1.9000000000000001,64.7
2022,1,5,2,30,-2.5,64.25
2022,1,5,3,30,-3.2,65
2022,1,5,4,30,-3.9000000000000004,65.31
2022,1,5,5,30,-4.5,65.49
2022,1,5,6,30,-4.800000000000001,65.12
2022,1,5,7,30,-5.1000000000000005,65.39
2022,1,5,8,30,-5.4,65.74
2022,1,5,9,30,-5.5,65.02
2022,1,5,10,30,-5.5,64.41
2022,1,5,11,30,-5.5,63.92
2022,1,5,12,30,-5.300000000000001,62.92
2022,1,5,13,30,-4.800000000000001,61.38
2022,1,5,14,30,-3.1,56.33
2022,1,5,15,30,-0.5,54.75
2022,1,5,16,30,1.4000000000000001,54.85
2022,1,5,17,30,2.6,53.800000000000004
2022,1,5,18,30,3.3000000000000003,54.02
2022,1,5,19,30,3.3000000000000003,56.68
2022,1,5,20,30,2.8000000000000003,61.56
2022,1,5,21,30,1.2000000000000002,69.81
2022,1,5,22,30,-1.5,80.68
2022,1,5,23,30,-4.4,83.23
2022,1,6,0,30,-6.800000000000001,82.2
2022,1,6,1,30,-8.5,79.15
2022,1,6,2,30,-9.4,75.61
2022,1,6,3,30,-9.700000000000001,73.33
2022,1,6,4,30,-9.9,71.64
2022,1,6,5,30,-10.3,71.61
2022,1,6,6,30,-10.8,71.61
2022,1,6,7,30,-11.200000000000001,71.10000000000001
2022,1,6,8,30,-11.5,71.36
2022,1,6,9,30,-12,72.67
2022,1,6,10,30,-12.3,72.58
2022,1,6,11,30,-12.4,72.53
2022,1,6,12,30,-11.9,71.04
2022,1,6,13,30,-11.3,72.88
2022,1,6,14,30,-10.600000000000001,72.33
2022,1,6,15,30,-8.700000000000001,67.7
2022,1,6,16,30,-5.800000000000001,68.07000000000001
2022,1,6,17,30,-3,69.22
2022,1,6,18,30,-0.9,71.9
2022,1,6,19,30,0.5,73.16
2022,1,6,20,30,1.4000000000000001,72.91
2022,1,6,21,30,1.7000000000000002,74.51
2022,1,6,22,30,0.8,80.59
2022,1,6,23,30,-0.5,83.05
2022,1,7,0,30,-1.1,81.32000000000001
2022,1,7,1,30,-1.1,80.08
2022,1,7,2,30,-0.9,78.83
2022,1,7,3,30,-0.7000000000000001,77.56
2022,1,7,4,30,-0.30000000000000004,75.39
2022,1,7,5,30,0.4,73.82000000000001
2022,1,7,6,30,0.8,73.35000000000001
2022,1,7,7,30,1,72.24
2022,1,7,8,30,0.9,71.66
2022,1,7,9,30,0.8,70.12
2022,1,7,10,30,0.7000000000000001,68.8
2022,1,7,11,30,0.5,68.28
2022,1,7,12,30,0,68.87
2022,1,7,13,30,-0.5,69.01
2022,1,7,14,30,0.5,63.53
2022,1,7,15,30,2.9000000000000004,60.89
2022,1,7,16,30,5,61.9
2022,1,7,17,30,6.300000000000001,59.93
2022,1,7,18,30,7.4,58.11
2022,1,7,19,30,8.1,59.13
2022,1,7,20,30,8.1,64.57000000000001
2022,1,7,21,30,7.300000000000001,67.04
2022,1,7,22,30,5.7,67.87
2022,1,7,23,30,3.8000000000000003,66.66
2022,1,8,0,30,2.4000000000000004,65.69
2022,1,8,1,30,1.6,66.86
2022,1,8,2,30,1.2000000000000002,67.37
2022,1,8,3,30,1,67.92
2022,1,8,4,30,0.9,68.44
2022,1,8,5,30,0.9,68.23
2022,1,8,6,30,0.9,68.14
2022,1,8,7,30,0.9,68.18
2022,1,8,8,30,0.9,68.07000000000001
2022,1,8,9,30,0.9,67.72
2022,1,8,10,30,1,66.92
2022,1,8,11,30,1,66.49
2022,1,8,12,30,1.3,65.11
2022,1,8,13,30,2,61.940000000000005
2022,1,8,14,30,3.4000000000000004,57.14
2022,1,8,15,30,4.6000000000000005,56.51
2022,1,8,16,30,4.800000000000001,60.85
2022,1,8,17,30,4.5,63.92
2022,1,8,18,30,4.3,63.14
2022,1,8,19,30,4.2,60.75
2022,1,8,20,30,3.8000000000000003,58.34
2022,1,8,21,30,2.8000000000000003,59.01
2022,1,8,22,30,0.6000000000000001,65.78
2022,1,8,23,30,-1.4000000000000001,66.84
2022,1,9,0,30,-2.4000000000000004,65.29
2022,1,9,1,30,-3.2,66.1
2022,1,9,2,30,-4.2,66.3
2022,1,9,3,30,-5,66.76
2022,1,9,4,30,-5.6000000000000005,67.76
2022,1,9,5,30,-6.300000000000001,69.19
2022,1,9,6,30,-6.800000000000001,69.41
2022,1,9,7,30,-7.300000000000001,68.87
2022,1,9,8,30,-7.800000000000001,67.41
2022,1,9,9,30,-8.200000000000001,65.42
2022,1,9,10,30,-8.5,62.88
2022,1,9,11,30,-8.700000000000001,60.29
2022,1,9,12,30,-8.700000000000001,57.35
2022,1,9,13,30,-8.5,54.83
2022,1,9,14,30,-7.4,50.59
2022,1,9,15,30,-5.2,47.12
2022,1,9,16,30,-2.1,44.69
2022,1,9,17,30,0.6000000000000001,42.38
2022,1,9,18,30,2.2,38.92
2022,1,9,19,30,2.8000000000000003,37.62
2022,1,9,20,30,2.9000000000000004,37.72
2022,1,9,21,30,2.2,41.7
2022,1,9,22,30,0.1,53.21
2022,1,9,23,30,-2.2,54.480000000000004
2022,1,10,0,30,-3.4000000000000004,53.52
2022,1,10,1,30,-4.2,56.370000000000005
2022,1,10,2,30,-4.800000000000001,58.27
2022,1,10,3,30,-4.800000000000001,54.32
2022,1,10,4,30,-4.9,49.550000000000004
2022,1,10,5,30,-5.2,45.9
2022,1,10,6,30,-5.5,43.2
2022,1,10,7,30,-5.6000000000000005,40.78
2022,1,10,8,30,-5.4,38.49
2022,1,10,9,30,-5.2,37.39
2022,1,10,10,30,-5,36.68
2022,1,10,11,30,-4.7,35.75
2022,1,10,12,30,-4.6000000000000005,35.43
2022,1,10,13,30,-4.3,34.68
2022,1,10,14,30,-2.7,31.740000000000002
2022,1,10,15,30,1,32.92
2022,1,10,16,30,4.7,35.02
2022,1,10,17,30,7.2,31.79
2022,1,10,18,30,8.700000000000001,28.44
2022,1,10,19,30,9.4,28.28
2022,1,10,20,30,9.1,32.24
2022,1,10,21,30,7.5,49.51
2022,1,10,22,30,4.3,57.26
2022,1,10,23,30,0.8,55.76
2022,1,11,0,30,-0.8,55.18
2022,1,11,1,30,-0.8,56.06
2022,1,11,2,30,-1,55.92
2022,1,11,3,30,-1,50.35
2022,1,11,4,30,-0.8,43.62
2022,1,11,5,30,-0.6000000000000001,40.74
2022,1,11,6,30,-0.7000000000000001,42.08
2022,1,11,7,30,-0.9,44.11
2022,1,11,8,30,-0.9,44.26
2022,1,11,9,30,-0.7000000000000001,42.71
2022,1,11,10,30,-0.6000000000000001,41.81
2022,1,11,11,30,-0.6000000000000001,41.49
2022,1,11,12,30,-0.8,41.59
2022,1,11,13,30,-0.9,41.57
2022,1,11,14,30,0,39.35
