Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,477448,-,-,-,40.01,-105.26,0,1629,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Relative Humidity
2021,1,1,0,30,-2.2,56.86
2021,1,1,1,30,-2.5,57.1
2021,1,1,2,30,-2.6,56.74
2021,1,1,3,30,-2.8000000000000003,56.59
2021,1,1,4,30,-3.3000000000000003,58.59
2021,1,1,5,30,-3.8000000000000003,61.65
2021,1,1,6,30,-4.1000000000000005,65.92
2021,1,1,7,30,-4.5,71.13
2021,1,1,8,30,-4.800000000000001,74
2021,1,1,9,30,-5,75.9
2021,1,1,10,30,-5.1000000000000005,76.84
2021,1,1,11,30,-5.2,77.41
2021,1,1,12,30,-5.300000000000001,78.18
2021,1,1,13,30,-5.1000000000000005,77.23
2021,1,1,14,30,-3.9000000000000004,71.54
2021,1,1,15,30,-1.7000000000000002,64.74
2021,1,1,16,30,0.30000000000000004,62.45
2021,1,1,17,30,1.7000000000000002,58.13
2021,1,1,18,30,2.7,54.410000000000004
2021,1,1,19,30,3.5,51.59
2021,1,1,20,30,3.8000000000000003,50.25
2021,1,1,21,30,3.2,52.38
2021,1,1,22,30,1,63.72
2021,1,1,23,30,-0.7000000000000001,64.44
2021,1,2,0,30,-2.1,68.19
2021,1,2,1,30,-2.9000000000000004,70.48
2021,1,2,2,30,-3.5,71.38
2021,1,2,3,30,-3.8000000000000003,70.78
2021,1,2,4,30,-4,69.28
2021,1,2,5,30,-4,66.59
2021,1,2,6,30,-3.8000000000000003,62.63
2021,1,2,7,30,-3.9000000000000004,61.29
2021,1,2,8,30,-4.2,61.59
2021,1,2,9,30,-4.5,60.97
2021,1,2,10,30,-4.7,60.69
2021,1,2,11,30,-4.800000000000001,59.79
2021,1,2,12,30,-5,59.02
2021,1,2,13,30,-4.800000000000001,56.5
2021,1,2,14,30,-3.4000000000000004,49.97
2021,1,2,15,30,-0.7000000000000001,43.62
2021,1,2,16,30,2,39.02
2021,1,2,17,30,4.2,34.6
2021,1,2,18,30,5.4,31.62
2021,1,2,19,30,5.9,30.18
2021,1,2,20,30,5.5,31.26
2021,1,2,21,30,3.9000000000000004,38.88
2021,1,2,22,30,1.6,48.63
2021,1,2,23,30,0.4,50.47
2021,1,3,0,30,-0.4,53.07
2021,1,3,1,30,-0.9,54.09
2021,1,3,2,30,-1.3,53.76
2021,1,3,3,30,-1.6,53.160000000000004
2021,1,3,4,30,-1.8,52.11
2021,1,3,5,30,-1.8,51.17
2021,1,3,6,30,-1.6,50.120000000000005
2021,1,3,7,30,-1.6,49.27
2021,1,3,8,30,-1.8,48.79
2021,1,3,9,30,-2.3000000000000003,49.58
2021,1,3,10,30,-2.7,50.31
2021,1,3,11,30,-2.7,50.04
2021,1,3,12,30,-2.4000000000000004,48.89
2021,1,3,13,30,-2.2,48.36
2021,1,3,14,30,-1.1,45.07
2021,1,3,15,30,1.2000000000000002,42
2021,1,3,16,30,3.9000000000000004,35.9
2021,1,3,17,30,5.7,32.78
2021,1,3,18,30,6.4,32.36
2021,1,3,19,30,6.1000000000000005,34.87
2021,1,3,20,30,5.1000000000000005,41.36
2021,1,3,21,30,3.9000000000000004,49.72
2021,1,3,22,30,3.1,53.1
2021,1,3,23,30,2.9000000000000004,52.620000000000005
2021,1,4,0,30,2.2,53.480000000000004
2021,1,4,1,30,1.2000000000000002,54.9
2021,1,4,2,30,0.30000000000000004,56.27
2021,1,4,3,30,0,56.1
2021,1,4,4,30,-0.2,55.99
2021,1,4,5,30,-0.30000000000000004,55.53
2021,1,4,6,30,-0.5,55.730000000000004
2021,1,4,7,30,-0.7000000000000001,56.34
2021,1,4,8,30,-1,56.92
2021,1,4,9,30,-1.4000000000000001,57.09
2021,1,4,10,30,-1.8,56.97
2021,1,4,11,30,-2.2,56.86
2021,1,4,12,30,-2.6,56.64
2021,1,4,13,30,-2.7,54.94
2021,1,4,14,30,-1.7000000000000002,49.050000000000004
2021,1,4,15,30,0.9,40.93
